15/07/2017,12:17:43,208638,348804,266368,264103,49883,117725,246463,11142,2779,248,176170,296701,233543,235979,45441,107606,223657,10162,2558,228,166073,289940,234853,245774,49189,124541,280470,13858,3614,348,22.0
15/07/2017,12:20:22,353352,627932,465141,467353,91792,215942,458469,21421,5306,490,264220,461894,339152,341540,67471,165464,371775,18446,4742,468,362367,649725,473534,472995,92902,219500,475390,22645,5639,537,22.2
15/07/2017,12:23:43,447119,807932,587381,594133,122024,283369,594294,29545,7652,758,456966,825628,596068,600982,123429,285385,598074,29916,7714,767,454442,821594,592694,596546,122840,283941,595727,30384,7759,779,22.4
15/07/2017,12:26:43,447187,797819,583242,596453,128075,289267,574360,30940,8180,844,432218,774860,568731,584279,126354,287871,579848,31837,8403,882,461551,831322,603487,616172,133023,301188,606577,33580,8715,912,22.6
15/07/2017,12:29:43,474749,846402,622321,644703,146467,325191,618687,35811,9928,1077,470699,839784,617163,641395,146700,324715,614859,35982,9929,1081,469938,840560,616492,638767,145434,320585,613480,36264,9871,1082,22.8
15/07/2017,12:31:40,467408,833989,611210,634490,146076,322913,611420,36864,10251,1147,468503,832370,612887,637239,148287,326666,610523,36948,10350,1151,446076,792560,586390,609120,141952,305089,550922,32694,9041,1000,23.1
15/07/2017,12:43:51,46822,83520,73492,89536,28652,63938,100993,7552,2839,353,88309,174618,161701,201027,61258,130549,208950,15324,5511,738,183774,318556,248900,271932,74763,150311,233180,16562,5739,748,23.4
15/07/2017,12:45:47,210227,388488,325950,381205,112390,240729,399254,30499,10381,1378,308868,503316,381882,398098,104607,196657,284618,18821,5749,659,60212,88214,76909,89276,27530,55422,78217,5676,2240,300,23.4
15/07/2017,12:47:44,53410,86598,74224,86121,26893,52141,69836,5270,2162,287,11933,16719,13370,15204,5611,9501,7964,606,481,72,8030,13176,12447,15781,6057,10805,9888,789,523,74,23.5
15/07/2017,12:50:43,12699,22715,22405,28694,10641,20978,25602,2269,1118,166,29616,45340,35604,37889,11716,19853,20167,1400,660,87,4914,6494,7396,10080,4241,8145,8247,718,449,70,23.4
15/07/2017,12:52:58,19291,28258,25552,31000,10848,19641,21334,1762,908,133,13600,21447,19698,23724,8418,14947,15216,1186,632,89,6141,8171,8581,10522,3948,6773,6029,539,330,47,23.4
15/07/2017,12:56:43,30490,44500,39684,45380,15269,29261,37305,3541,1678,276,47159,79783,72673,84149,26791,46854,54131,4337,1748,255,47038,79638,70695,85419,29908,57650,73769,6866,2926,421,23.3
15/07/2017,12:58:44,39535,63774,58112,71892,26771,51397,64200,5820,2504,381,50554,88158,86500,112511,40907,80824,106419,9999,4022,607,137731,239290,202063,242149,80418,163988,240483,22785,8286,1219,23.4
15/07/2017,13:08:57,424588,728220,573336,652974,214792,411507,578193,62335,20511,3223,470600,818398,631839,716692,234173,447692,636424,68894,22109,3482,501294,873870,666350,752176,245989,466458,655869,71939,22840,3594,24.1
15/07/2017,13:19:25,523729,908548,693710,791771,273986,508069,679543,85527,26742,4459,525020,909967,696919,800975,280120,516274,682057,86242,27450,4574,526131,911095,699125,802303,282858,518570,683486,86682,27604,4622,25.2
